Iteración,1,2,3,4,5,6,7,8,9,10
1887,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1888,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1889,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1890,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1891,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1892,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1893,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1894,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1895,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1896,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1897,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1898,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1899,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1900,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1901,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1902,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1903,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1904,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1905,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1906,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1907,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1908,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1909,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1910,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1911,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1912,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1913,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1914,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1915,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1916,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1917,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1918,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1919,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1920,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1921,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1922,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1923,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1924,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1925,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1926,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1927,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1928,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1929,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1930,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1931,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1932,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1933,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1934,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1935,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1936,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1937,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1938,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1939,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1940,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1941,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1942,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1943,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1944,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1945,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1946,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1947,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1948,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1949,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1950,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1951,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1952,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1953,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1954,366297.5994873047,183348.7998046875,125998.3998413086,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1955,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1956,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1957,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1958,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1959,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1960,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1961,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1962,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1963,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
1964,366297.5994873047,183348.7998046875,125998.39978027344,96540.15908050537,79731.19956207275,66748.75903320312,58623.74041748047,52588.800048828125,47657.60009765625,43348.7998046875
