Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
PESA2,square4,SP,14,1.5757350809946142
PESA2,square4,SP,15,1.6597025236099698
PESA2,square4,SP,16,1.5988309407026813
PESA2,square4,SP,17,1.55709906407082
PESA2,square4,SP,18,1.5687765759068804
PESA2,square4,SP,19,1.5607826623783443
PESA2,square4,SP,20,1.5354234653130887
PESA2,square4,SP,21,1.613962063993141
PESA2,square4,SP,22,1.5725729853315775
PESA2,square4,SP,23,1.519501719231017
PESA2,square4,SP,24,1.584545410320212
PESA2,square4,SP,25,1.5689121648768003
PESA2,square4,SP,26,1.6047106668048008
PESA2,square4,SP,27,1.6002487428986254
PESA2,square4,SP,28,1.5839001448128516
PESA2,square4,SP,29,1.5614597565784174
NGSAII,square1,GD,0,0.013639130701686078
NGSAII,square1,GD,1,0.01739826832490017
NGSAII,square1,GD,2,0.01620479712878205
NGSAII,square1,GD,3,0.014662665618108181
NGSAII,square1,GD,4,0.019016436504500498
NGSAII,square1,GD,5,0.015029310861414796
NGSAII,square1,GD,6,0.013345857985763585
NGSAII,square1,GD,7,0.019814516650494017
NGSAII,square1,GD,8,0.01662989120570644
NGSAII,square1,GD,9,0.014348333301956171
NGSAII,square1,GD,10,0.014907466721566487
NGSAII,square1,GD,11,0.016007588741770093
NGSAII,square1,GD,12,0.014633506410674197
NGSAII,square1,GD,13,0.01281339327622847
NGSAII,square1,GD,14,0.014728172600800227
NGSAII,square1,GD,15,0.017945034864165026
NGSAII,square1,GD,16,0.01517853906454253
NGSAII,square1,GD,17,0.014328616059493735
NGSAII,square1,GD,18,0.024334135982916224
NGSAII,square1,GD,19,0.015961466889979032
NGSAII,square1,GD,20,0.012066665694352949
NGSAII,square1,GD,21,0.014623843806431032
NGSAII,square1,GD,22,0.025289272213339792
NGSAII,square1,GD,23,0.014493254037389998
NGSAII,square1,GD,24,0.018342796529169418
NGSAII,square1,GD,25,0.017168711217354
NGSAII,square1,GD,26,0.015416585101103516
NGSAII,square1,GD,27,0.016521136114503347
NGSAII,square1,GD,28,0.013725047239503976
NGSAII,square1,GD,29,0.018722430787829716
NGSAII,square2,GD,0,0.04858899060915087
NGSAII,square2,GD,1,0.06834075810859926
NGSAII,square2,GD,2,0.040824945136402654
NGSAII,square2,GD,3,0.06969318180527768
NGSAII,square2,GD,4,0.05433136299980351
NGSAII,square2,GD,5,0.0459045925637144
NGSAII,square2,GD,6,0.04692538045209757
NGSAII,square2,GD,7,0.05845367238650856
NGSAII,square2,GD,8,0.04591094500615167
NGSAII,square2,GD,9,0.04432160549166983
NGSAII,square2,GD,10,0.04946041343337244
NGSAII,square2,GD,11,0.04689066857950346
NGSAII,square2,GD,12,0.041460989313750155
NGSAII,square2,GD,13,0.05068421069786605
NGSAII,square2,GD,14,0.055718877421628676
NGSAII,square2,GD,15,0.03352583042346997
NGSAII,square2,GD,16,0.05634986985264287
NGSAII,square2,GD,17,0.063962722043337
NGSAII,square2,GD,18,0.048582807691211295
NGSAII,square2,GD,19,0.04603425326718914
NGSAII,square2,GD,20,0.046560883220485086
NGSAII,square2,GD,21,0.06971539874495956
NGSAII,square2,GD,22,0.04740258161837908
NGSAII,square2,GD,23,0.048937691368627884
NGSAII,square2,GD,24,0.040712172237114395
NGSAII,square2,GD,25,0.049119767247406076
NGSAII,square2,GD,26,0.08218654116465078
NGSAII,square2,GD,27,0.04003571762577541
NGSAII,square2,GD,28,0.04624248463396446
NGSAII,square2,GD,29,0.03724041896674825
NGSAII,square3,GD,0,0.017829078937899836
NGSAII,square3,GD,1,0.017505464570890698
NGSAII,square3,GD,2,0.01590561600054533
NGSAII,square3,GD,3,0.014990520693865786
NGSAII,square3,GD,4,0.01974513811723029
NGSAII,square3,GD,5,0.019547975443411712
NGSAII,square3,GD,6,0.01128325896220003
NGSAII,square3,GD,7,0.014087358611231933
NGSAII,square3,GD,8,0.01756168047714624
NGSAII,square3,GD,9,0.017936181451594622
NGSAII,square3,GD,10,0.014933730337909035
NGSAII,square3,GD,11,0.01478104856877447
NGSAII,square3,GD,12,0.017749062423685975
NGSAII,square3,GD,13,0.015936391669856467
NGSAII,square3,GD,14,0.01727984243488668
NGSAII,square3,GD,15,0.01844040349506214
NGSAII,square3,GD,16,0.018424353875629865
NGSAII,square3,GD,17,0.024983423159668918
NGSAII,square3,GD,18,0.018884629361313247
NGSAII,square3,GD,19,0.014555363285194894
NGSAII,square3,GD,20,0.014146284979655923
NGSAII,square3,GD,21,0.0206668553421006
NGSAII,square3,GD,22,0.01408835840528281
NGSAII,square3,GD,23,0.012289372490805422
NGSAII,square3,GD,24,0.01836152666084347
NGSAII,square3,GD,25,0.015614120932198649
NGSAII,square3,GD,26,0.01819741752114074
NGSAII,square3,GD,27,0.01755636711710896
NGSAII,square3,GD,28,0.01863468342215554
NGSAII,square3,GD,29,0.015736598296947336
NGSAII,square4,GD,0,0.018509913625352762
NGSAII,square4,GD,1,0.02252335943730902
NGSAII,square4,GD,2,0.01751981601649262
NGSAII,square4,GD,3,0.021531344091616927
NGSAII,square4,GD,4,0.0190977234265752
NGSAII,square4,GD,5,0.020435827082858498
NGSAII,square4,GD,6,0.016844056481122836
NGSAII,square4,GD,7,0.01991237949544516
NGSAII,square4,GD,8,0.021680897612536915
NGSAII,square4,GD,9,0.032579784272518356
NGSAII,square4,GD,10,0.020935358056130508
NGSAII,square4,GD,11,0.028811114051762874
NGSAII,square4,GD,12,0.022486712541392177
NGSAII,square4,GD,13,0.022147654958165234
NGSAII,square4,GD,14,0.021161813642496183
NGSAII,square4,GD,15,0.023589879988392428
NGSAII,square4,GD,16,0.02243908396060514
NGSAII,square4,GD,17,0.02898139803704535
NGSAII,square4,GD,18,0.022645943473096616
NGSAII,square4,GD,19,0.02148556892821666
NGSAII,square4,GD,20,0.02197964260266316
NGSAII,square4,GD,21,0.02011498355822984
NGSAII,square4,GD,22,0.024997638060826593
NGSAII,square4,GD,23,0.021553740262514706
NGSAII,square4,GD,24,0.016305611566173016
NGSAII,square4,GD,25,0.029354781465409988
NGSAII,square4,GD,26,0.017777879691466665
NGSAII,square4,GD,27,0.025004357710362
NGSAII,square4,GD,28,0.03259417133923395
NGSAII,square4,GD,29,0.02253634737390827
PESA2,square1,GD,0,0.010893564825612623
PESA2,square1,GD,1,0.007981685998175881
PESA2,square1,GD,2,0.010611735676205263
PESA2,square1,GD,3,0.00991050905551875
PESA2,square1,GD,4,0.010322477490202328
PESA2,square1,GD,5,0.012200605450962824
PESA2,square1,GD,6,0.009141699013460425
PESA2,square1,GD,7,0.008570070767458202
PESA2,square1,GD,8,0.00878175802740809
PESA2,square1,GD,9,0.0074344400844833
PESA2,square1,GD,10,0.009169317245317846
PESA2,square1,GD,11,0.009512196004991931
PESA2,square1,GD,12,0.007294834305171951
PESA2,square1,GD,13,0.008995815421015348
PESA2,square1,GD,14,0.010092487167498188
PESA2,square1,GD,15,0.009419060718289298
PESA2,square1,GD,16,0.006688264523100441
PESA2,square1,GD,17,0.01160835329258421
PESA2,square1,GD,18,0.009474285723516917
PESA2,square1,GD,19,0.011285897026196883
